Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.571565964555973,-1.9386226714106452,8.530578346038397,-0.5580264026763189,10.966208167853042 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.513869243238027,-2.2063608693536369,8.490431143591309,-0.6160072453662338,10.93176846684486 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.45696711217336,-2.415740693542728,8.432735830247225,-0.7047674050977548,10.88832663655006 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.387602824002086,-2.742119550217334,8.383232873454177,-0.7480168753170915,10.835352566704712 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.312977301116725,-3.1731923635759324,8.333215302646864,-0.757538915971395,10.775222363201842 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.300385456219838,-2.7100265720721659,8.280487028188077,-0.7605401946361781,10.721000100251594 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.278598850661039,-2.3963095118006518,8.262505464886886,-0.7238941710941163,10.679503696935095 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.256744209372162,-2.1835713796629609,8.25721089103854,-0.6400052892454937,10.648196619326662 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,10.238742755190622,-1.9142075193818136,8.247653384473722,-0.5768483667358169,10.621722948283896 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,10.180339620544452,-2.217345643957875,8.160644779242603,-0.8633476397903905,10.589787524809543 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.124088091384014,-2.522072185618984,8.06049703528538,-1.1620797827733896,10.547723829857582 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,10.062944785562605,-2.827449659096214,7.958273658907274,-1.4623396851379198,10.497056163937325 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.997960428790769,-3.1331723820784065,7.851792076084223,-1.764590104338481,10.440890473956998 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.94812720028133,-3.187540980164626,7.79205389672893,-1.8333885926060703,10.38468770442074 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.896372926596623,-3.242407097266501,7.737596851709782,-1.897953430466373,10.331209140557869 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.845833966704922,-3.2971680749538718,7.683055362570315,-1.9622477464512259,10.280253096593695 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.79615664315094,-3.351934230741622,7.629525511578322,-2.0261905715654509,10.230719376182885 
